P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+
NA18486	NA12827	AltaiNeandertal	Ancestor	2336	2375	9079	9001	15254	0	15719	0	-0.008278497134366377	0.004314159292035398	0.0017112017901803344	-0.002556706437655697	0.004962147719320568	0.0012591612049204146
NA18486	NA12828	AltaiNeandertal	Ancestor	2396	2254	9174	8731	15254	0	15719	0	0.03053763440860215	0.02474169226473052	0.025936599423631124	0.009309033696079716	0.02818245435460271	0.018887418073806218
NA18486	NA12829	AltaiNeandertal	Ancestor	2338	2163	9090	8629	15254	0	15719	0	0.038880248833592534	0.026017269597607088	0.028622862286228623	0.011472400681788383	0.02932756536675361	0.02053401349562522
NA18486	NA12830	AltaiNeandertal	Ancestor	2481	2240	9200	8819	15254	0	15719	0	0.05104850667231519	0.021144347633054	0.02735268249780123	0.015799134653205718	0.024238183090527388	0.020082006909243534
NA18486	NA12842	AltaiNeandertal	Ancestor	2299	2345	8931	8871	15254	0	15719	0	-0.009905254091300603	0.003370407819346141	0.000623719148177849	-0.003015602464927232	0.0038170367071696672	0.00045200658638168726
NA18486	NA12843	AltaiNeandertal	Ancestor	2299	2239	8802	8580	15254	0	15719	0	0.013221683561040106	0.01277183293061788	0.012864963503649634	0.0039333945194703025	0.01412303581652777	0.009104704097116844
NA18486	NA12872	AltaiNeandertal	Ancestor	2399	2272	9146	8681	15254	0	15719	0	0.027189038749732393	0.026084029842373926	0.02631345008445195	0.008325685066212141	0.02958203448056492	0.019113421366997063
NA18486	NA12873	AltaiNeandertal	Ancestor	2293	2307	9034	8759	15254	0	15719	0	-0.003043478260869565	0.015455516214241556	0.011655428035546823	-0.0009177920545430706	0.01749475157452764	0.008426694217544313
NA18486	NA12874	AltaiNeandertal	Ancestor	2150	2306	8780	8705	15254	0	15719	0	-0.03500897666068223	0.0042893909064912784	-0.0036917187001504034	-0.010226825750622788	0.004771295883962084	-0.0026151809640654763
NA18486	NA12878	AltaiNeandertal	Ancestor	2435	2245	9243	8824	15254	0	15719	0	0.0405982905982906	0.023191454032213427	0.026772761243240868	0.012455749311655958	0.026655639671734843	0.019662286507603398
NA18486	NA12889	AltaiNeandertal	Ancestor	2343	2199	8991	8625	15254	0	15719	0	0.031704095112285335	0.02077656675749319	0.023016517736257784	0.009440146846728727	0.02328392391373497	0.016465954218190037
NA18486	NA12890	AltaiNeandertal	Ancestor	2314	2124	8954	8512	15254	0	15719	0	0.04281207751239297	0.02530630940112218	0.02885317750182615	0.012455749311655958	0.028118837076149882	0.020404868756659027
