P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
NA18486	NA12889	AltaiNeandertal	Ancestor	853	909	3597	3714	6236	0	6479	0	-0.03178206583427923	-0.01600328272466147	-0.019067563099305632	-0.008980115458627326	-0.01805834233678037	-0.013605977192292567	33
NA18486	NA12890	AltaiNeandertal	Ancestor	889	878	3517	3589	6236	0	6479	0	0.00622524052065648	-0.010132282578103011	-0.006874788684774033	0.001763951250801796	-0.011112826053403304	-0.0047974832874557605	33
NA18486	NA12829	AltaiNeandertal	Ancestor	1032	1144	4748	4939	7848	0	8191	0	-0.051470588235294115	-0.019717146691442138	-0.02554159993256343	-0.014271151885830785	-0.023318276156757415	-0.018891452085541494	34
NA18486	NA12830	AltaiNeandertal	Ancestor	1068	1152	4639	4647	7848	0	8191	0	-0.03783783783783784	-0.0008615119534783546	-0.007995828263514687	-0.010703363914373088	-0.0009766817238432426	-0.005736018455015899	34
NA18486	NA12842	AltaiNeandertal	Ancestor	960	1133	4670	4856	7848	0	8191	0	-0.08265647396082179	-0.019525509132899434	-0.03089766761339186	-0.02204383282364934	-0.02270785007935539	-0.022382941579898997	34
NA18486	NA12843	AltaiNeandertal	Ancestor	1081	1266	4625	4921	7848	0	8191	0	-0.07882403067746059	-0.031007751937984496	-0.040443958631127555	-0.023572884811416922	-0.036137223782199974	-0.02998940083546356	34
NA18486	NA12872	AltaiNeandertal	Ancestor	1097	1105	4450	4760	7848	0	8191	0	-0.0036330608537693005	-0.033659066232356136	-0.02786540483701367	-0.0010193679918450561	-0.03784641679892565	-0.019826672485815825	34
NA18486	NA12873	AltaiNeandertal	Ancestor	1066	1011	4423	4445	7848	0	8191	0	0.026480500722195474	-0.002480829950383401	0.003015075376884422	0.00700815494393476	-0.002685874740568917	0.002057484880603529	34
NA18486	NA12874	AltaiNeandertal	Ancestor	877	1151	4463	4718	7848	0	8191	0	-0.1351084812623274	-0.027774752205642086	-0.04719421893121599	-0.03491335372069317	-0.031131729947503357	-0.03298210611634142	34
NA18486	NA12878	AltaiNeandertal	Ancestor	1082	1098	4536	4599	7848	0	8191	0	-0.007339449541284404	-0.006896551724137931	-0.006981882456915599	-0.0020387359836901123	-0.007691368575265535	-0.004925494108111478	34
NA18486	NA12889	AltaiNeandertal	Ancestor	996	1064	4633	4685	7848	0	8191	0	-0.03300970873786408	-0.00558059669456965	-0.010546669010370891	-0.008664627930682976	-0.006348431204981077	-0.0074817632021946506	34
NA18486	NA12890	AltaiNeandertal	Ancestor	917	1125	4617	4964	7848	0	8191	0	-0.10186092066601371	-0.03621751382945413	-0.04775015056353781	-0.026503567787971458	-0.042363569771700645	-0.034603154810150256	34
NA18486	NA12829	AltaiNeandertal	Ancestor	1715	1656	6689	6629	11563	0	11754	0	0.017502224859092256	0.004505180958101817	0.007130445203427407	0.005102482054830062	0.005104645227156712	0.005103572500750525	35
NA18486	NA12830	AltaiNeandertal	Ancestor	1758	1614	6577	6423	11563	0	11754	0	0.042704626334519574	0.011846153846153847	0.018201807964817983	0.01245351552365303	0.01310192274970223	0.01278037483381224	35
NA18486	NA12842	AltaiNeandertal	Ancestor	1637	1729	6548	6588	11563	0	11754	0	-0.027332144979203804	-0.0030450669914738123	-0.007999030420555085	-0.007956412695667214	-0.003403096818104475	-0.0056611056310846165	35
NA18486	NA12843	AltaiNeandertal	Ancestor	1723	1738	6533	6458	11563	0	11754	0	-0.004334007512279688	0.00577322761912093	0.0036469730123997084	-0.001297241200380524	0.006380806533945891	0.0025732298323111894	35
NA18486	NA12872	AltaiNeandertal	Ancestor	1853	1628	6716	6729	11563	0	11754	0	0.06463659867854064	-0.0009669021941242097	0.012525109299302848	0.01945861800570786	-0.0011060064658839543	0.009092078740832869	35
NA18486	NA12873	AltaiNeandertal	Ancestor	1673	1602	6499	6371	11563	0	11754	0	0.0216793893129771	0.009945609945609946	0.012325797460514092	0.006140275015134481	0.01088990981793432	0.008534545610498778	35
NA18486	NA12874	AltaiNeandertal	Ancestor	1562	1739	6447	6654	11563	0	11754	0	-0.053620115116631326	-0.01580032058621479	-0.023411779051335204	-0.015307446164490184	-0.01761102603369066	-0.01646867092679161	35
NA18486	NA12878	AltaiNeandertal	Ancestor	1716	1612	6633	6527	11563	0	11754	0	0.03125	0.008054711246200608	0.012736535662299854	0.008994205655971633	0.009018206567976859	0.009006304413089163	35
NA18486	NA12889	AltaiNeandertal	Ancestor	1637	1648	6563	6580	11563	0	11754	0	-0.0033485540334855404	-0.0012934642014760709	-0.0017044071098125152	-0.0009513102136123843	-0.0014463161476944019	-0.0012008405884118883	35
NA18486	NA12890	AltaiNeandertal	Ancestor	1700	1653	6621	6666	11563	0	11754	0	0.014017297942141366	-0.0033867690223526757	0.0001201923076923077	0.004064689094525642	-0.0038284839203675345	8.577432774370632e-05	35
NA18486	NA12829	AltaiNeandertal	Ancestor	1359	1198	5211	5003	8536	0	8755	0	0.06296441141963238	0.020364205991775994	0.028893587033121917	0.01886129334582943	0.023757852655625356	0.02134058180556359	36
