P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
YRI	CEU	NEA	ANC	2713.773861298128	2768.550586887372	11129.866944907126	10941.960589692339	17779.04513888881	193.33449074074053	19212.278935180333	1022.9155092592591	-0.009991514750166538	0.008513402658671019	0.004831563305186048	-0.003114842879267579	0.010330562472956474	0.0037212957085682066	26
YRI	CEU	NEA	ANC	2466.0414094649873	2592.375163673748	10723.270248779478	10663.70501309526	17179.979166666617	150.3912037037036	18619.00231481304	897.8587962962969	-0.024974960520179314	0.0027851173415065233	-0.0025247694925866573	-0.007418485666448286	0.0033612523718900477	-0.0019213557723274533	27
YRI	CEU	NEA	ANC	1606.4692877852433	1588.2367541152178	6632.769208283827	6570.285832864244	10493.818287037004	119.40393518518506	11366.278935180157	656.3460648148155	0.005707108394605031	0.0047324937467010065	0.0049223737729079025	0.0017574518475610191	0.005834151920081175	0.003828238467091615	28
YRI	CEU	NEA	ANC	1789.596415544299	1760.753402076307	6940.402859611843	6719.194947155339	11174.509259259217	106.36574074074072	11980.652777771562	588.1342592592596	0.008123991986604288	0.016194321061701718	0.014529441424339677	0.0026059486326440924	0.019416945611898894	0.011132838627474046	29
YRI	CEU	NEA	ANC	2320.864875607879	2394.3787644968143	9427.040287127096	9283.490202954108	15060.270833333308	150.78472222222217	16262.108796290102	878.7152777777789	-0.015590687247563484	0.007672154685784386	0.0029897067603757896	-0.004930678920861657	0.009331496590803613	0.0023119688897309276	30
YRI	CEU	NEA	ANC	1968.3625023381835	1961.408377759077	8080.707503270855	7921.641846707035	12484.61111111106	132.02314814814795	13780.087962957996	754.2268518518522	0.001769600516489757	0.009940143980423715	0.008329258464557268	0.0005629690393589792	0.012211527146423902	0.006541762290452992	31
YRI	CEU	NEA	ANC	2627.9268962775673	2620.6615343247054	10401.40349092322	10240.887287223164	16919.1631944444	122.3321759259259	17809.37847221607	843.9178240740749	0.0013842506511847412	0.007776084806924193	0.006480334804397958	0.00043254361164030565	0.009461352510792847	0.004969495770886845	32
YRI	CEU	NEA	ANC	1629.90947671156	1582.8516063411932	6153.597982134807	5982.830094930949	9867.540509259237	89.98263888888881	10505.515046293523	630.7673611111114	0.014647173927310086	0.014070687530094562	0.014191352735439455	0.004812844985859886	0.017293392464103666	0.011083979788451782	33
YRI	CEU	NEA	ANC	2278.2698629816673	2503.5084993452965	10187.691135893194	10130.304351385135	15908.953703703683	170.13425925925924	17453.499999996457	880.1157407407418	-0.04710352912593401	0.0028244314033827817	-0.006687385028300174	-0.014311024861723996	0.0034625869774309874	-0.005194689083875439	34
YRI	CEU	NEA	ANC	3474.3140081369133	3402.2268869247705	13314.770704724642	12938.184004395762	20886.460648148175	234.11342592592575	22613.57175925759	1323.3865740740737	0.01048304988106905	0.014344545385516258	0.013543032073340264	0.0034905049986074213	0.01768827734720497	0.010697346959951354	35
YRI	CEU	NEA	ANC	1204.5507388701685	1212.2512860082259	4857.241933219833	4740.093574634751	7569.341435185144	78.19097222222219	8260.649305553103	424.0590277777782	-0.0031862548354347777	0.012206341904917902	0.009109918306564232	-0.001027952538949752	0.014948894153279428	0.007140505133684376	36
YRI	CEU	NEA	ANC	1750.167929292904	1752.7565235690054	6863.481925736502	6726.8971193403995	11035.186342592575	109.96180555555537	11868.883101846706	670.2881944444448	-0.0007389809032239846	0.010050110150943859	0.007839105655390644	-0.00023693739815834635	0.012196602120666016	0.006056649144896187	37
YRI	CEU	NEA	ANC	1776.1345164608933	1847.124415450796	7382.34647399625	7320.461793863032	11678.039351851774	112.84490740740723	12742.201388883153	714.4050925925931	-0.019592830742694755	0.004209038097062033	-0.0004968452182036172	-0.006138236527791757	0.005145138694467575	-0.0003859289802103627	38
YRI	CEU	NEA	ANC	1145.767594930782	1181.7821151328053	4711.534336418177	4666.092627664678	7615.806712962957	53.50810185185186	8247.966435182418	435.2418981481486	-0.015473147596507994	0.004845757773000052	0.0008053862674536296	-0.0047623774270309826	0.0058163715536231056	0.0006131495517529192	39
